#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d5158bc540ac229a35b62f08e71bca04 -            719     4e-34  104.4   0.0   1   1   7.8e-34   7.8e-34  103.4   0.0    14   223    76   279    62   279 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 82fd0f5bf7b795cea0d7b2ec31728153 -            719   4.4e-34  104.2   0.0   1   1   8.5e-34   8.5e-34  103.3   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1dd3ba9ade6ef93489f73db2e8a2fa0e -            719   8.1e-34  103.4   0.0   1   1   1.6e-33   1.6e-33  102.4   0.0    10   223    77   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a1d031c08ac539ebfc4e0d010c39f1c7 -            719     1e-33  103.0   0.0   1   1   2.1e-33   2.1e-33  102.0   0.0    10   223    77   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2c15f0d3fd58fe253813afc2528658a7 -            719     1e-33  103.0   0.0   1   1     2e-33     2e-33  102.1   0.0    10   223    77   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 534767296a165f1bb94503ae088aa829 -            702   5.4e-34  103.9   0.0   1   1   9.4e-34   9.4e-34  103.2   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 63e9405c5defe6c727764e092dba0d80 -            719   5.1e-34  104.0   0.0   1   1   9.8e-34   9.8e-34  103.1   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c49df82dc86c27a31805fc802bd7c3db -            719     2e-26   79.2   0.0   1   1   3.8e-26   3.8e-26   78.3   0.0    16   223    82   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4be7a527d4553d6f298cd52a199dbf4e -            719     2e-26   79.2   0.0   1   1   3.8e-26   3.8e-26   78.3   0.0    16   223    82   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3e4dca19c23f088ed9b761294ca69231 -            719   7.4e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d7838aeafa54ac6efe3a738f4b2a5d95 -            719   6.7e-33  100.4   0.0   1   1   1.3e-32   1.3e-32   99.4   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c7296c1997f8cd191b5af53a20f7df14 -            722   2.3e-32   98.6   0.0   1   1   4.4e-32   4.4e-32   97.7   0.0    14   223    76   279    63   279 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 59ca473c569498f510167fcb7e308197 -            719   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b81c08692681036bebb379284cebef0d -            719   7.1e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 60af3dcabe0c2b722d4c08fe115e4890 -            719   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a999b2e2ad5f344069e0ca4ec20cdb7d -            719   7.3e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9977159b1ec16ea1535a5c02f6de090a -            719   7.2e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 db58dc24bc6b22bb4c217960a2630cff -            719   7.3e-34  103.5   0.0   1   1   1.4e-33   1.4e-33  102.6   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bbeee78c462cd156c99c76158ac85e98 -            719   3.2e-33  101.4   0.0   1   1   6.2e-33   6.2e-33  100.5   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cacdce25ac22df9e0777f91318865341 -            719   3.3e-33  101.4   0.0   1   1   6.2e-33   6.2e-33  100.5   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 57a97532d9e54ade822c54bce1ffadb8 -            719   2.9e-34  104.8   0.0   1   1   5.4e-34   5.4e-34  103.9   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 56ec0b26acb4350dc8e3fb7b163d4cad -            719   3.8e-34  104.4   0.0   1   1   7.3e-34   7.3e-34  103.5   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e139ed4bba27d3b2396f7d4a5f1f7824 -            719   3.9e-34  104.4   0.0   1   1   7.3e-34   7.3e-34  103.5   0.0    14   223    76   279    63   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 91885cde51cfcb807786b52b10fbc385 -            722   3.8e-34  104.4   0.0   1   1   7.5e-34   7.5e-34  103.5   0.0     9   223    76   279    64   279 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 433143090dc99512a8d5a786b2f49274 -            717     7e-33  100.3   0.0   1   1   1.3e-32   1.3e-32   99.4   0.0    10   223    72   279    63   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d36ce5290b2eea604bcadab3837d2d24 -            719     3e-35  108.0   0.0   1   1   6.3e-35   6.3e-35  107.0   0.0     9   223    76   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 512ada58acc5f224ad87b4a15b40749d -            719   6.7e-33  100.4   0.0   1   1   1.3e-32   1.3e-32   99.4   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9bcb930d6b7122d7bcf60044ad4fd33c -            719     1e-33  103.0   0.0   1   1   2.1e-33   2.1e-33  102.0   0.0    10   223    77   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6084bee7a5c13e1edfd229e68b1ff0a -            719   4.5e-34  104.2   0.0   1   1   8.5e-34   8.5e-34  103.3   0.0    10   223    77   279    64   279 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e7f9d92ddbe8be1db07813900378bc80 -            720   1.3e-35  109.2   0.0   1   1   2.4e-35   2.4e-35  108.4   0.0     9   223    76   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 02212edc777c588b7607edaa07852650 -            719   1.2e-35  109.3   0.0   1   1   2.4e-35   2.4e-35  108.4   0.0     9   223    76   279    64   279 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bd927a093160f7e547ed179945a1652b -            748   1.4e-34  105.9   0.0   1   1   2.9e-34   2.9e-34  104.8   0.0    10   223   104   306    91   306 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 0a169d71453baa21c8efe73c974946be -            645   1.4e-28   86.2   0.1   1   1   2.5e-28   2.5e-28   85.4   0.1    11   222    68   277    58   278 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d200ffb67a9a722c89ae61176ca5edf5 -           1234     1e-23   70.3   1.3   1   1   2.4e-23   2.4e-23   69.1   1.3     8   223    93   311    86   311 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4a482b6ca743c638b8e90e13cab5f14b -           1286   1.1e-16   47.3   2.1   1   2   2.4e-07   2.4e-07   16.8   0.1     8    79    82   159    77   165 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4a482b6ca743c638b8e90e13cab5f14b -           1286   1.1e-16   47.3   2.1   2   2   4.6e-11   4.6e-11   29.0   0.3   123   223   228   324   182   324 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7fb9de572e7cd02d79136c751ebc0cb1 -           1060   5.2e-11   28.8   3.9   1   2   4.2e-06   4.2e-06   12.7   2.5   126   186   172   234    45   252 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7fb9de572e7cd02d79136c751ebc0cb1 -           1060   5.2e-11   28.8   3.9   2   2   1.1e-06   1.1e-06   14.7   0.0   163   223   306   366   289   366 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4962f2d6734cd92637e93bdfdae38a31 -           1385   3.5e-25   75.1   0.0   1   1   5.9e-25   5.9e-25   74.4   0.0     4   223    80   311    77   311 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 21e23af9cb09257810389c2e1da0139c -           1109   5.6e-21   61.4   0.6   1   3   5.6e-21   5.6e-21   61.4   0.6    38   223    81   264    45   264 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 21e23af9cb09257810389c2e1da0139c -           1109   5.6e-21   61.4   0.6   2   3      0.08      0.08   -1.3   0.1    80   113   603   635   594   654 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 21e23af9cb09257810389c2e1da0139c -           1109   5.6e-21   61.4   0.6   3   3     0.082     0.082   -1.3   0.0    44    87   957  1003   949  1016 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e0a8148f6cbf80f66a0bb706de198121 -           1245   5.1e-19   55.0   0.9   1   2   1.4e-06   1.4e-06   14.3   0.0    14    77    91   156    76   160 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e0a8148f6cbf80f66a0bb706de198121 -           1245   5.1e-19   55.0   0.9   2   2   8.9e-14   8.9e-14   37.8   0.6   123   223   232   327   216   327 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 900c6a85efb2fcbaa333227e85fbbf72 -           1245   1.2e-19   57.0   1.6   1   2     8e-07     8e-07   15.1   0.0    14    78    91   157    76   161 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 900c6a85efb2fcbaa333227e85fbbf72 -           1245   1.2e-19   57.0   1.6   2   2   2.4e-14   2.4e-14   39.7   0.8   123   223   232   327   216   327 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f93197fd2ffc89b00ddea100e6d9efa1 -           1245   2.5e-19   56.0   1.1   1   2   7.7e-07   7.7e-07   15.1   0.0    14    78    91   157    76   164 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f93197fd2ffc89b00ddea100e6d9efa1 -           1245   2.5e-19   56.0   1.1   2   2   5.4e-14   5.4e-14   38.5   0.4   123   223   232   327   207   327 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bac75a9f8c76e0eefc67cbb7a54c4fdb -           1327   1.8e-09   23.8   5.7   1   2   1.5e-05   1.5e-05   10.9   0.3    13    82    90   156    76   170 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bac75a9f8c76e0eefc67cbb7a54c4fdb -           1327   1.8e-09   23.8   5.7   2   2   1.5e-06   1.5e-06   14.2   0.9   103   223   214   335   185   335 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ac30a3804b25e0abafd0b29372681717 -           1184   2.1e-28   85.7   0.1   1   1   4.8e-28   4.8e-28   84.5   0.1    15   222   107   309    94   310 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d1c1ff1821d0e2d20a5129a1dbac5ea3 -           1186   2.5e-11   29.8   3.4   1   2   2.5e-11   2.5e-11   29.8   3.4     3   221    74   310    72   312 0.68 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d1c1ff1821d0e2d20a5129a1dbac5ea3 -           1186   2.5e-11   29.8   3.4   2   2     0.018     0.018    0.8   0.1   170   217  1116  1160  1095  1166 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f8e7022452b03640007608ab83032af9 -           1128   5.8e-21   61.3   0.6   1   2   5.8e-21   5.8e-21   61.3   0.6    38   223    81   264    45   264 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f8e7022452b03640007608ab83032af9 -           1128   5.8e-21   61.3   0.6   2   2     0.081     0.081   -1.3   0.1    80   113   622   654   613   673 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 870b605a6d12c349c230c7d9e9d501e1 -           1144   3.1e-30   91.6   0.0   1   1   7.8e-30   7.8e-30   90.3   0.0    12   223    74   278    59   278 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1a0b480a50014a6bd0a4044157cd928c -           1301   1.3e-21   63.4   3.1   1   3   1.3e-11   1.3e-11   30.8   0.0    11    81    96   168    83   176 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1a0b480a50014a6bd0a4044157cd928c -           1301   1.3e-21   63.4   3.1   2   3   1.5e-11   1.5e-11   30.5   1.3   123   222   240   335   226   336 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1a0b480a50014a6bd0a4044157cd928c -           1301   1.3e-21   63.4   3.1   3   3      0.29      0.29   -3.1   0.0    79   121   573   616   562   618 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a718bae854d9b257257b07e8f5163290 -           1301   1.1e-21   63.7   3.1   1   3   1.3e-11   1.3e-11   30.8   0.0    11    81    96   168    83   176 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a718bae854d9b257257b07e8f5163290 -           1301   1.1e-21   63.7   3.1   2   3   1.5e-11   1.5e-11   30.5   1.3   123   222   240   335   226   336 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a718bae854d9b257257b07e8f5163290 -           1301   1.1e-21   63.7   3.1   3   3      0.29      0.29   -3.1   0.0    79   121   573   616   562   618 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6138479aa85ac4bb23afb762078936f0 -            742   6.4e-19   54.6   6.2   1   2     0.031     0.031    0.1   0.2    35    63    63    90    28   106 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6138479aa85ac4bb23afb762078936f0 -            742   6.4e-19   54.6   6.2   2   2   4.9e-17   4.9e-17   48.5   1.8    30   183   189   352   165   412 0.68 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 af2df0bb89fb6810efe16765c4811be1 -            723   8.7e-19   54.2   5.9   1   3      0.14      0.14   -2.0   0.2   144   173    36    66    18    78 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 af2df0bb89fb6810efe16765c4811be1 -            723   8.7e-19   54.2   5.9   2   3   3.2e-17   3.2e-17   49.1   0.7    26   182   168   332   147   348 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 af2df0bb89fb6810efe16765c4811be1 -            723   8.7e-19   54.2   5.9   3   3   0.00024   0.00024    7.0   0.0   184   222   355   392   345   393 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 326fad1d8875ac35d18c9e0b8db40ed3 -            726     4e-20   58.6   1.5   1   1   1.5e-17   1.5e-17   50.2   1.5    21   183   166   333   147   393 0.68 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 683fc92996cc61b1746f2daaadde5fec -            777   5.7e-18   51.5   0.8   1   4     0.085     0.085   -1.4   0.4    27    63    55    90    35    99 0.76 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 683fc92996cc61b1746f2daaadde5fec -            777   5.7e-18   51.5   0.8   2   4   5.7e-18   5.7e-18   51.5   0.8    30   182   189   351   167   367 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 683fc92996cc61b1746f2daaadde5fec -            777   5.7e-18   51.5   0.8   3   4   0.00049   0.00049    6.0   0.0   188   222   378   411   359   412 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 683fc92996cc61b1746f2daaadde5fec -            777   5.7e-18   51.5   0.8   4   4      0.41      0.41   -3.6   0.1    59    86   703   730   699   734 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2dddae47781a3457baa77891913f5789 -            777   3.5e-18   52.2   1.4   1   3     0.083     0.083   -1.3   0.4    27    63    55    90    30    99 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2dddae47781a3457baa77891913f5789 -            777   3.5e-18   52.2   1.4   2   3   3.5e-18   3.5e-18   52.2   1.4    30   183   189   352   167   412 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2dddae47781a3457baa77891913f5789 -            777   3.5e-18   52.2   1.4   3   3      0.41      0.41   -3.6   0.1    59    86   703   730   699   734 0.70 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1773df365e2ffa1a0c2641e66f561abb -           1192   5.8e-32   97.3   0.4   1   3   5.8e-32   5.8e-32   97.3   0.4     5   223    72   277    68   277 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1773df365e2ffa1a0c2641e66f561abb -           1192   5.8e-32   97.3   0.4   2   3     0.067     0.067   -1.0   0.2    93   145   650   705   614   722 0.58 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1773df365e2ffa1a0c2641e66f561abb -           1192   5.8e-32   97.3   0.4   3   3     0.057     0.057   -0.8   1.8   166   196  1145  1177  1125  1189 0.66 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f270069e588de608166699ffab79b11f -           1157   8.8e-30   90.2   0.0   1   1   2.1e-29   2.1e-29   88.9   0.0    11   223    80   285    70   285 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c42c3499c8a45bc1cddf71815341b5f -           1157   8.8e-30   90.2   0.0   1   1   2.1e-29   2.1e-29   88.9   0.0    11   223    80   285    70   285 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f870dda0999b5331cd5db072ead9ecdc -           1121     5e-34  104.1   0.0   1   2   4.1e-33   4.1e-33  101.0   0.0    22   223    41   242    27   242 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f870dda0999b5331cd5db072ead9ecdc -           1121     5e-34  104.1   0.0   2   2     0.044     0.044   -0.4   0.0    89   124   598   627   585   650 0.58 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e29976258da8d28c9e6a685bbb262e08 -            726   2.2e-20   59.4   1.5   1   1   8.3e-18   8.3e-18   51.0   1.5    21   183   166   333   147   393 0.68 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ba7ce9638d4e246f9e6fa3faf636a8da -            750   3.5e-23   68.6   0.0   1   3   3.5e-23   3.5e-23   68.6   0.0    38   221    71   238    56   240 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ba7ce9638d4e246f9e6fa3faf636a8da -            750   3.5e-23   68.6   0.0   2   3     0.036     0.036   -0.1   0.2   166   217   588   638   584   639 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ba7ce9638d4e246f9e6fa3faf636a8da -            750   3.5e-23   68.6   0.0   3   3      0.17      0.17   -2.3   4.7   167   190   692   713   650   746 0.53 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 6be51c172d4d0eaec47c784fe42ac674 -           1157   1.5e-27   82.8   0.1   1   1   3.2e-27   3.2e-27   81.8   0.1     9   222    91   297    77   298 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 bfc7bbc1df8cf3b43be1cb0b9107ae5c -           1522     3e-30   91.7   0.0   1   1   5.6e-30   5.6e-30   90.8   0.0     6   223    83   320    78   320 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 60818a06f6d5b8fc94253993470402fb -            648   5.6e-27   81.0   0.6   1   2   5.6e-27   5.6e-27   81.0   0.6     5   223    75   292    69   292 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 60818a06f6d5b8fc94253993470402fb -            648   5.6e-27   81.0   0.6   2   2      0.24      0.24   -2.8   0.0   180   215   583   618   570   619 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a4ec372c625ceff852db69c79a5536d7 -            652   3.6e-33  101.2   2.0   1   2     0.012     0.012    1.5   0.0    27    70    37    79    33    89 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 a4ec372c625ceff852db69c79a5536d7 -            652   3.6e-33  101.2   2.0   2   2   1.4e-32   1.4e-32   99.3   0.6    15   223    91   295    73   295 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 87bd054c62d8f8bdd672471d5b342dfe -            652   1.6e-33  102.4   2.0   1   2     0.012     0.012    1.5   0.0    27    70    37    79    33    89 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 87bd054c62d8f8bdd672471d5b342dfe -            652   1.6e-33  102.4   2.0   2   2   6.8e-33   6.8e-33  100.3   0.6    15   223    91   295    73   295 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 208b6e90d53e44fe2824f201a33791fa -            652   1.6e-33  102.4   2.0   1   2     0.012     0.012    1.5   0.0    27    70    37    79    33    89 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 208b6e90d53e44fe2824f201a33791fa -            652   1.6e-33  102.4   2.0   2   2   6.8e-33   6.8e-33  100.3   0.6    15   223    91   295    73   295 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6f0d0859a316d872cd9d90f4a9aaddd -            659   1.7e-32   99.1   0.5   1   2     0.038     0.038   -0.2   0.0    28    65    38    74    35    83 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6f0d0859a316d872cd9d90f4a9aaddd -            659   1.7e-32   99.1   0.5   2   2   5.7e-32   5.7e-32   97.3   0.1     2   223    74   296    73   296 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c275a85e9bdd1470774feadfd5c4299 -            779   4.5e-21   61.7   0.5   1   4   4.5e-21   4.5e-21   61.7   0.5    45   223   119   293    94   293 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c275a85e9bdd1470774feadfd5c4299 -            779   4.5e-21   61.7   0.5   2   4      0.37      0.37   -3.4   5.1   163   214   653   703   649   706 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c275a85e9bdd1470774feadfd5c4299 -            779   4.5e-21   61.7   0.5   3   4         1         1   -8.7  14.7   160   202   685   727   666   739 0.77 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c275a85e9bdd1470774feadfd5c4299 -            779   4.5e-21   61.7   0.5   4   4         1         1   -8.0  11.4   161   200   715   755   697   769 0.67 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 81abdecc3f9e3215545a3eb394950f8e -           1370   9.2e-29   86.8   0.0   1   1   1.7e-28   1.7e-28   86.0   0.0     6   223    86   316    81   316 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6208d15ca846b509ab20a4a7cdf245d -            837   6.8e-14   38.2   1.8   1   3   7.2e-05   7.2e-05    8.7   0.0    12    77    87   151    74   155 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e6208d15ca846b509ab20a4a7cdf245d -            837   6.8e-14   38.2   1.8   2   3   1.3e-10   1.3e-10   27.5   0.1   117   223   226   336   197   336 0.84 delta endotoxin, N-terminal domain
