#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                       accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----             -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Endotoxin_N          PF03945.13   223 d21707e1020060dd781546c7fcc1b427 -            633   3.8e-34  104.4   0.4   1   1   5.8e-34   5.8e-34  103.8   0.4     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7d552482ca57d9a814641b60445d3816 -            623   7.6e-33  100.2   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dca7dc49dace72ada839baf5c4be8900 -           1198   9.4e-30   90.1   0.0   1   1   2.4e-29   2.4e-29   88.8   0.0     9   223    82   282    63   282 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7ca98c83894e04b14669875b54464c2e -           1183   1.2e-33  102.8   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ac51c3e5cfffd5c4eb0bf363128083d0 -            625   7.1e-33  100.3   0.1   1   1   1.2e-32   1.2e-32   99.5   0.1    26   222    79   262    53   263 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8bbcf41aaa7c7669ac7a937ae94ee4c2 -           1180   1.5e-33  102.5   0.1   1   1   4.4e-33   4.4e-33  101.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b186f09318524ef3a7a9ac1bb677f034 -           1184   2.3e-31   95.3   2.1   1   1   5.3e-30   5.3e-30   90.9   0.0    41   223   111   285    86   285 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cd6b16f53489520040bfed2728ff3203 -            624   1.6e-29   89.3   0.1   1   1   2.6e-29   2.6e-29   88.6   0.1    33   222    86   262    55   263 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ea95e0f194c6fcc6469c71c025903e4d -           1191   3.6e-30   91.4   0.0   1   1   8.1e-30   8.1e-30   90.3   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 036ef194f8897c1bd54470c0e69ff9ff -           1189   3.4e-30   91.5   0.0   1   1   8.1e-30   8.1e-30   90.3   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 075282df10b15f3aca13a5ca918e48b7 -           1155   3.4e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cae6f136325a3165e107a30adebf0b5a -           1231   1.5e-28   86.1   0.0   1   1   3.2e-28   3.2e-28   85.1   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 e53994e7454d31d1a1f23e0f4353e666 -           1177   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b787b5e2730ea4a70e01236216e14359 -           1174   1.8e-28   85.9   0.1   1   1     4e-28     4e-28   84.8   0.1    41   223   111   285    90   285 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d854867a8ba84133238b5b8df764c9a8 -           1168   1.6e-30   92.6   0.0   1   1   4.1e-30   4.1e-30   91.3   0.0     8   223    49   250    46   250 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f4a81f5b8b984ed41680d813d5d2198d -           1185   6.8e-33  100.3   0.3   1   1     3e-32     3e-32   98.2   0.0    39   223   113   290    79   290 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b9a62bbae937d7e103d5b36c02cbdd49 -           1178   7.9e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f7ed0d2bc04deb7beb13bd41177e180f -            687   8.8e-30   90.2   0.0   1   1   1.7e-29   1.7e-29   89.2   0.0     6   223    58   268    54   268 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3d720ce2a372b49e3264b0e7cffbda67 -           1167   2.3e-29   88.8   0.0   1   1   8.8e-29   8.8e-29   86.9   0.0     8   223    49   250    46   250 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 cb2b59218ca346e46b719f83cb9ce3ae -           1332   1.4e-27   82.9   0.2   1   1   3.6e-27   3.6e-27   81.6   0.2    39   223    98   275    86   275 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 82250eceb9382bb16c410a9f7d27d48e -           1216   2.7e-31   95.1   0.8   1   1   6.8e-31   6.8e-31   93.8   0.1    22   223   102   295    79   295 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3ea1b4dc4865f1354d36a1e755831e6b -           1178   7.9e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 01fdc089caa82e5cb8abaf48c0bea1c5 -           1156   3.7e-19   55.4   0.0   1   1   7.4e-19   7.4e-19   54.4   0.0     7   223    68   287    61   287 0.79 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9fb8c241943cbbac33ca90b6284fde9d -           1176   6.7e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 721f89dd8e005ae3d38b6e3f4d0f3a05 -           1155   3.9e-33  101.1   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 54bfe9b8b142e2056b275d44faab4f95 -           1157   1.2e-31   96.3   0.0   1   1   2.1e-31   2.1e-31   95.5   0.0     9   223    86   290    70   290 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5feb5429055a25f5ad67bc0c50417e53 -           1189   4.1e-30   91.3   0.1   1   1   9.6e-30   9.6e-30   90.0   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1de405303bb817c9590f13ad41e7ac42 -           1160   3.9e-32   97.9   0.1   1   1   1.3e-31   1.3e-31   96.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ff2cabe1e373233b5ed4255e3ce42858 -            754   4.4e-18   51.9   6.4   1   1   4.6e-17   4.6e-17   48.6   1.3    21   183   197   364   178   424 0.71 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 023ca56117b9faa55ea79648d8c68077 -           1138   2.1e-32   98.7   2.2   1   1   3.4e-32   3.4e-32   98.1   0.3    34   223    96   278    61   278 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 40224e215cd829feb3bebf70b4b03b89 -            699   9.1e-19   54.1   8.7   1   2   4.6e-12   4.6e-12   32.2   1.0    62   173   136   246   126   254 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 40224e215cd829feb3bebf70b4b03b89 -            699   9.1e-19   54.1   8.7   2   2     6e-10     6e-10   25.3   1.8   154   223   255   318   239   318 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 98727e085df8637c240f6582effeb407 -           1182     7e-34  103.6   0.1   1   1   3.7e-33   3.7e-33  101.2   0.0     8   223    56   257    52   257 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fdeb6794ca8b80c6738c55fe65bc1c30 -           1228   1.1e-28   86.6   0.0   1   1   2.2e-28   2.2e-28   85.6   0.0    35   223    89   270    57   270 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2d05cee6881a38fd0f6e1fb4f5822d5d -            634   8.1e-35  106.6   0.3   1   1   1.2e-34   1.2e-34  106.1   0.3     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 824dec23ee6c6fa34de2257344b753ec -           1176   8.3e-34  103.3   0.1   1   1   4.4e-33   4.4e-33  101.0   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 99c5992d3e56ed7ea14a3d5ef0695682 -            629   3.5e-37  114.4   1.4   1   1   6.5e-37   6.5e-37  113.5   1.4     7   223    71   275    64   275 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 914f24dc3d7dd486c8e4546835e60f34 -           1241     4e-31   94.5   1.1   1   2   5.2e-26   5.2e-26   77.8   0.0    31   186   100   254    79   263 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 914f24dc3d7dd486c8e4546835e60f34 -           1241     4e-31   94.5   1.1   2   2   2.9e-06   2.9e-06   13.2   0.8   193   222   286   315   279   316 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 fc2b36f2a1ea261024fc47d1611e86ba -            682   2.2e-34  105.2   1.2   1   1   4.1e-34   4.1e-34  104.3   1.2     3   223    73   280    71   280 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5b1bbbd545a88c4a80be316e7db7bcf4 -            659   6.5e-32   97.1   0.8   1   1     2e-31     2e-31   95.5   0.2     3   223    75   296    73   296 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 714908330ad5b92a5e44d38e4841f1b8 -            869   9.7e-25   73.7   0.9   1   1   5.4e-24   5.4e-24   71.2   0.9     4   223    38   276    35   276 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2285b5cb708c3c39a4d0261538773da3 -           1171   1.3e-30   92.9   0.0   1   1     4e-30     4e-30   91.3   0.0    10   223    50   250    44   250 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 180fec69ecba06f67fa251db47f76a2f -           1177   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 19a68f720be5b07dddce29d0e0d3e2af -            931   1.4e-25   76.4   0.3   1   1   3.1e-25   3.1e-25   75.3   0.0     4   223    80   311    77   311 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 c750dacc9548a48dcb6391dde09bcc29 -            623   1.9e-33  102.2   0.1   1   1     3e-33     3e-33  101.5   0.1    26   222    79   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9de67c5cb8699beddf4564d4408ed655 -           1178   6.7e-34  103.6   0.0   1   1   3.8e-33   3.8e-33  101.2   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 82a169882896c4afde23fbdd74361c12 -           1201   3.7e-27   81.6   0.0   1   1   7.3e-27   7.3e-27   80.6   0.0    20   223    52   249    34   249 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7d0f199fcaeb832d7d085b70e696ef29 -           1135   1.5e-26   79.6   2.3   1   1   1.5e-26   1.5e-26   79.6   2.3    14   223    68   267    52   267 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 524d34a4d63732832ebd659c62ee0cfe -           1144   1.5e-32   99.2   0.0   1   1   3.3e-32   3.3e-32   98.1   0.0     9   222    76   275    70   276 0.94 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 ca4007503f529fe8e8f93ae897539c2c -           1228   2.6e-28   85.3   0.0   1   1   5.2e-28   5.2e-28   84.4   0.0    35   223    89   270    57   270 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 7b85e6eb01424d7d1c560e7ae541e0ae -            688   1.2e-14   40.7   1.6   1   1   2.1e-14   2.1e-14   39.9   1.6    59   223   137   301    97   301 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 194af53152471b455f0186ec96b24c49 -           1185   1.1e-13   37.5   7.6   1   1   2.7e-13   2.7e-13   36.3   3.1     3   221    74   310    72   312 0.78 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2281b863b06e57da59b14f984c8fa17b -            613   6.4e-19   54.6  10.0   1   1   1.4e-18   1.4e-18   53.6  10.0    18   222    43   242    12   243 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 203d60bf4bd0e4afbe42bb94d8700b84 -            723     1e-18   54.0   6.0   1   1   3.1e-17   3.1e-17   49.1   0.7    26   182   168   332   147   350 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 54832c05ae270a4f4d63bb4ac132bd60 -            815   2.3e-31   95.3   1.3   1   1   2.3e-31   2.3e-31   95.3   1.3     2   222   112   343   111   344 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1005eb913e487e7dedd881bdb807b3d0 -           1156   2.5e-23   69.1   0.0   1   1   4.4e-23   4.4e-23   68.2   0.0    12   222    84   292    69   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 50679f7705e9d5378c8c7f0f1f62c85b -           1154   3.4e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 39c26912fe2ad1089b2538395ba70ad2 -            644     5e-32   97.5   2.9   1   1   1.4e-31   1.4e-31   96.1   1.0    15   223    83   287    65   287 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 286a705a25152180babfb76885ea876a -           1181   7.7e-32   96.9   0.0   1   1   7.2e-31   7.2e-31   93.7   0.0     8   223    50   251    46   251 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9c02259e2d6c58f261942c919d63ded8 -            723   8.7e-19   54.2   5.9   1   1   3.2e-17   3.2e-17   49.1   0.7    26   182   168   332   147   348 0.75 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 4e45124276c89c166f33c8674e6d8a52 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2157e092332b9020c239490cbdb27e39 -           1135   4.8e-23   68.1   2.2   1   1   4.8e-23   4.8e-23   68.1   2.2    15   223    69   267    55   267 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 86fd13bddd8f5b03b152c1fc45a72c73 -           1344   3.3e-26   78.5   0.0   1   1     8e-26     8e-26   77.2   0.0    16   223   100   293    87   293 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 dda43a108bb6e91e9e6443e60b1c44d5 -            706   9.2e-28   83.6   2.8   1   1   1.9e-27   1.9e-27   82.5   2.8    20   222   148   335   127   336 0.83 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 64bc602ba32625f10c15df473a3d6f42 -            635   1.6e-34  105.7   0.3   1   1   2.3e-34   2.3e-34  105.2   0.3     2   222    54   262    53   263 0.84 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 490a82a662785a8957a01ced25c01425 -           1174   1.8e-35  108.7   0.4   1   1   1.1e-34   1.1e-34  106.2   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 009b1a9871c861c28f781c5aa0ba6a1d -           1225   4.6e-37  114.0   0.1   1   1   1.3e-36   1.3e-36  112.5   0.1     9   222    86   289    80   290 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5226f662e65f4ee4e37115de4afd0010 -           1178   7.9e-34  103.4   0.0   1   1   4.5e-33   4.5e-33  100.9   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3bb5c1c79c3b2136476869dfc2c86e15 -            633   2.7e-33  101.7   0.7   1   1   4.3e-33   4.3e-33  101.0   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 5a33a78bd35dd51afed2f65295d3d6d4 -            633     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 78bf01042d9dfb2697dfd8dc99acc617 -           1155   3.4e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 b48b9de5e80e832f3f317c80f3e96b11 -            758   7.6e-20   57.7   5.4   1   1   3.9e-18   3.9e-18   52.1   1.3    30   183   201   364   178   424 0.73 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 652dac64eeb830bf9e42723d1f5fe488 -            405   8.4e-36  109.9   0.6   1   1   1.1e-35   1.1e-35  109.4   0.6    12   223    92   297    81   297 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 57b1c806c502fdf753d68aa67303e060 -           1044   2.6e-30   91.9   0.0   1   1   6.6e-30   6.6e-30   90.6   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 636dfe117313bc22b0c3ea5159bdd41d -           1286   7.8e-29   87.1   0.0   1   1   1.4e-28   1.4e-28   86.2   0.0    38   223   113   300    77   300 0.85 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 488c5e0fe6642cc653d9dda17d9b377e -            934   1.5e-33  102.5   0.0   1   1     3e-33     3e-33  101.5   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 66af1ea25ed1eb9f2b0259cafa2bd7b3 -            633   4.4e-33  101.0   0.9   1   1     7e-33     7e-33  100.3   0.9    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f0d69086746b849ee129253797ab4ab5 -           1169   2.7e-31   95.1   3.3   1   1   3.1e-31   3.1e-31   94.9   0.1    11   223    90   288    69   288 0.88 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 37b71c074f652bb774fff10d50991ece -           1236   2.5e-39  121.4   0.0   1   1   4.2e-39   4.2e-39  120.6   0.0     2   223    68   288    67   288 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c13cb87e0adb777b68fcea5a7896ffb -           1155   6.9e-33  100.3   0.0   1   1   1.5e-32   1.5e-32   99.2   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 143954abf0fc34954401fc0b5737105f -           1164     2e-37  115.1   0.0   1   1   4.5e-37   4.5e-37  114.0   0.0     9   223    86   289    76   289 0.93 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 75ec11e2efb68142e219e627462d5f37 -            634     2e-33  102.1   0.7   1   1   3.2e-33   3.2e-33  101.4   0.7    11   222    64   262    53   263 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 280e2e061625dd0901c78507e8accfd6 -           1257     1e-34  106.3   3.9   1   1   2.4e-34   2.4e-34  105.1   3.9     4   223    76   283    73   283 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8ce182ede50c24152480e59f869f8a5b -            802   6.1e-26   77.6   8.7   1   1   9.7e-25   9.7e-25   73.7   3.2     2   222   101   343   100   344 0.81 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 2595199657374543aaf7260b04760020 -           1203   1.4e-28   86.3   0.0   1   1   3.1e-28   3.1e-28   85.1   0.0    20   223    52   249    34   249 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 287d71dabf1afce649856e43ca5ca1cf -           1155   1.5e-31   96.0   0.0   1   1   4.8e-31   4.8e-31   94.3   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 62a856262a47590df483d623e5a0f154 -           1129     1e-17   50.7   1.0   1   1     1e-17     1e-17   50.7   1.0    16   221    90   306    70   308 0.74 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 edb0fadf194a30e47766568619562d5a -           1155   3.4e-33  101.3   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 229b06bc5fb1699651777a1131edb128 -           1236   1.4e-38  119.0   0.0   1   1   2.6e-38   2.6e-38  118.1   0.0     2   223    68   288    67   288 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 aabdef54511a348bef2af35abad9a033 -           1173   1.4e-27   83.0   0.2   1   1   1.8e-26   1.8e-26   79.3   0.0    20   185    59   217    46   241 0.86 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 8c9814214bfb20e70ff0fa34e3174e59 -           1227   5.3e-27   81.1   0.0   1   1     1e-26     1e-26   80.1   0.0    20   223    78   275    60   275 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 57fcf0b59b7d80422f3c6f43950c1d6a -           1174   3.1e-35  108.0   0.3   1   1   1.1e-34   1.1e-34  106.2   0.0     8   223    48   249    44   249 0.91 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 9459974ad10115c5016c2812784b89e9 -           1163   1.9e-29   89.1   0.0   1   1   3.8e-29   3.8e-29   88.1   0.0    11   222    84   289    73   290 0.87 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 f1f0804c69c296539b9cfe5eaff062d1 -           1189   3.6e-30   91.4   0.0   1   1   8.1e-30   8.1e-30   90.3   0.0     7   223    48   250    42   250 0.89 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 1f7a2007f386a6ed5080bcb381133897 -            609   7.8e-34  103.4   0.0   1   1   1.1e-33   1.1e-33  102.9   0.0     8   223    50   251    46   251 0.92 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 39c9283208bd439181a185f4ef945fe0 -           1150   2.6e-24   72.3   0.0   1   1     5e-24     5e-24   71.3   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 70712a99402803fb31bb7ecefa801a30 -           1150   6.7e-24   70.9   0.0   1   1   1.3e-23   1.3e-23   70.0   0.0     9   222    86   292    71   293 0.80 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 3fac568c04899c6d5f90c1fd27e92fb7 -           1460   2.5e-27   82.1   0.0   1   1   5.1e-27   5.1e-27   81.1   0.0     7   223    77   301    71   301 0.82 delta endotoxin, N-terminal domain
Endotoxin_N          PF03945.13   223 d6ca1aebb69d0ee8305c9aeacf17af59 -           1155   3.9e-33  101.1   0.0   1   1   1.1e-32   1.1e-32   99.7   0.0     8   223    50   251    46   251 0.90 delta endotoxin, N-terminal domain
